Order,PID,MS SubClass,SalePrice
1,526301100,20,215000
2,526350040,20,105000
3,526351010,20,172000
4,526353030,20,244000
5,527105010,60,189900
6,527105030,60,195500
7,527127150,120,213500
8,527145080,120,191500
9,527146030,120,236500
10,527162130,60,189000
11,527163010,60,175900
12,527165230,20,185000
13,527166040,60,180400
14,527180040,20,171500
15,527182190,120,212000
16,527216070,60,538000
17,527225035,50,164000
18,527258010,20,394432
19,527276150,20,141000
20,527302110,20,210000
21,527358140,20,190000
22,527358200,85,170000
23,527368020,60,216000
24,527402200,20,149000
25,527402250,20,149900
26,527403020,20,142000
27,527404120,20,126000
28,527425090,20,115000
29,527427230,120,184000
30,527451180,160,96000
31,527451330,160,105500
32,527451410,160,88000
33,527452190,120,127500
34,527453130,160,149900
35,527453150,120,120000
36,527454200,160,146000
37,528108120,60,376162
38,528112020,20,306000
39,528120060,20,395192
40,528120090,20,290941
41,528120100,20,220000
42,528120120,20,275000
43,528138020,20,259000
44,528138060,20,214000
45,528150070,20,611657
46,528175010,120,224000
47,528176010,20,500000
48,528176070,60,320000
49,528180070,120,319900
50,528181050,120,205000
51,528188120,160,175500
52,528218150,20,199500
53,528228285,120,160000
54,528228440,120,192000
55,528231020,80,184500
56,528240070,60,216500
57,528240130,60,185088
58,528250100,80,180000
59,528292020,60,222500
60,528328100,60,333168
61,528344070,60,355000
62,528358010,20,260400
63,528363130,60,325000
64,528382020,60,290000
65,528382030,60,221000
66,528386040,50,410000
67,528445060,20,221500
68,528456160,20,204500
69,528458070,60,215200
70,528458110,20,262500
71,528477080,60,254900
72,528480090,20,271500
73,531367050,60,233000
74,531369060,60,181000
75,531380080,60,205000
76,531451110,120,143000
77,531451280,60,189000
78,531452020,120,99500
79,531452050,120,125000
80,531452180,60,194500
81,531453010,20,152000
82,531453040,60,171000
83,531477050,30,67500
84,532351140,90,112000
85,532354090,85,148000
86,532376160,20,138500
87,532377060,20,122000
88,532377100,20,133000
89,532378110,20,127000
90,532479070,20,169000
91,533130020,60,190000
92,533130130,60,362500
93,533130160,60,285000
94,533205060,120,260000
95,533208090,160,190000
96,533210060,160,155000
97,533212010,160,151000
98,533212020,160,149500
99,533212060,160,152000
100,533213030,20,222000
101,533221090,160,177500
102,533221110,160,177000
103,533223020,160,155000
104,533223100,160,147110
105,533238045,20,267916
106,533244030,60,254000
107,533253060,120,155000
108,533253210,120,206000
109,533352170,60,130500
110,534102025,20,230000
111,534129040,20,218500
112,534151175,60,243500
113,534152050,20,205000
114,534152070,50,212500
115,534152100,60,196500
116,534176060,20,197500
117,534176230,60,171000
118,534202160,20,142250
119,534251320,20,143000
120,534276360,20,128950
121,534401110,20,159000
122,534401140,20,178900
123,534403360,80,136300
124,534403410,80,180500
125,534425310,85,137500
126,534427010,90,84900
127,534430080,20,142125
128,534431050,50,197600
129,534431070,50,172500
130,534450180,20,116500
131,534451150,30,76500
132,534475100,20,128000
133,534476260,80,153000
134,534479320,20,132000
135,535101020,85,178000
136,535106190,90,154300
137,535125010,20,180000
138,535126040,20,190000
139,535152010,90,135000
140,535152050,20,214000
141,535152130,20,136000
142,535152150,20,165500
143,535152250,20,145000
144,535153070,20,148000
145,535154050,20,142000
146,535175070,20,167500
147,535175180,20,108538
148,535179020,20,159500
146,535175070,20,167500
147,535175180,20,108538
148,535179020,20,159500
149,535180130,50,108000
150,535302080,20,135000
151,535302200,20,122500
152,535304060,190,119000
153,535304180,20,109000
154,535325400,30,105000
155,535327140,20,107500
156,535350030,20,144900
157,535350040,20,129000
158,535353190,50,97500
159,535377090,90,144000
160,535401080,20,162000
161,535425010,80,242000
162,535450210,50,132000
163,535453070,20,154000
164,535454070,50,166000
165,535456110,20,134800
166,535457010,20,160000
167,535457090,20,148000
168,535476350,20,192000
169,535477020,60,155000
170,902102100,50,80400
171,902104060,50,96500
172,902106130,30,109500
173,902106140,30,115000
174,902110090,20,143000
175,902125080,50,107400
176,902125160,30,80000
177,902128170,30,119000
178,902206040,50,130000
179,902206130,45,119000
180,902206220,50,129000
181,902206240,50,100000
182,902207130,30,12789
183,902207140,30,105900
184,902305110,70,150000
185,902327040,50,139000
186,902329030,70,240000
187,902401060,190,76500
188,902402010,20,149700
189,902402130,70,125500
190,902402250,190,122500
191,902403070,70,140750
192,903204040,50,128500
193,903206120,75,209500
194,903225150,30,87000
195,903226160,50,134000
196,903227020,50,128000
197,903227150,50,132000
198,903228150,50,139900
199,903232190,50,123900
200,903233120,50,138400
201,903234050,30,109500
202,903425110,70,140000
203,903426180,50,149500
204,903426200,70,159900
205,903430080,70,122000
206,903450110,90,110000
207,903454060,190,55000
208,903476030,190,140000
209,904100140,70,244400
210,904101110,20,173000
211,904300150,50,107500
212,904302260,190,100000
213,904350045,50,95000
214,904351040,70,93369
215,904352190,190,114900
216,905101100,50,94000
217,905101300,90,136000
218,905101310,90,136500
219,905102060,190,131500
220,905103060,20,121500
221,905104210,20,125000
222,905105070,20,154000
223,905105200,20,137900
224,905106140,60,158000
225,905106170,20,137250
226,905107110,90,160250
227,905107250,60,163000
228,905107320,60,158900
229,905109130,60,328000
230,905109170,20,270000
231,905201030,30,85000
232,905202090,20,128000
233,905325030,40,260000
234,905352140,60,230000
235,905378040,50,124000
236,905426060,30,83000
237,905426200,20,144500
238,905451320,20,129000
239,905452110,50,127000
240,905452160,20,128000
241,905453040,20,186000
242,905453080,20,308030
243,905475510,20,114000
244,905478190,20,84900
245,906201030,60,178000
246,906201120,20,270000
247,906204230,60,218000
248,906223090,60,236000
249,906225210,85,147000
250,906378100,20,245350
251,906380190,20,206000
252,906385010,20,198900
253,906385020,20,187000
254,906402200,60,320000
255,906425045,50,138500
256,906477110,80,155000
257,907125090,85,159000
258,907180050,60,191000
259,907185060,60,200500
260,907200280,20,150000
261,907200290,60,161750
262,907200340,20,128200
263,907203070,20,127000
264,907250030,20,318000
265,907252120,20,272000
266,907262050,60,237000
267,907280040,60,240000
268,907290040,20,224900
269,907290170,120,143750
270,907290240,120,143000
271,907401090,20,232000
272,907410080,20,213000
